id,original_dataset,original_id,original_question,original_answer,key_time,original_gold_evidence,question,exact_time,time_specifier,date_type,answer,gold_evidence_1,gold_evidence_2
13,situatedqa,,most home runs by 2 teammates in a season as of 1988,Maris and Mantle,1961,"They gained prominence during the 1961 season, when Maris and Mantle, batting third and cleanup (fourth) in the Yankee lineup respectively, both challenged Babe Ruth's 34-year-old single-season record of 60 home runs. The home run lead would change hands between the two teammates numerous times throughout the summer and fueled intense scrutiny of the players by the press. Maris eventually broke the record when he hit his 61st home run on the final day of the season, while Mantle hit 54 before he was forced to pull out of the lineup in September because of an abscessed hip. Maris' record stood for 37 years until it was broken by Mark McGwire in. The duo, however, still hold the single-season record for combined home runs by a pair of teammates with 115.",Most home runs by 2 teammates in a season before 1992.,0,as of,short,Maris and Mantle | Mantle and Maris | M&M Boys | Mickey Mantle and Roger Maris | Roger Maris and Mickey Mantle,"During their record-breaking season of 1961, the M&M Boys became the only teammates to join the 50 home run club in the same season, hitting a combined 115 home runs to break the single-season record for home runs by a pair of teammates.",
14,situatedqa,,most home runs by 2 teammates in a season as of 1988,Maris and Mantle,1961,"They gained prominence during the 1961 season, when Maris and Mantle, batting third and cleanup (fourth) in the Yankee lineup respectively, both challenged Babe Ruth's 34-year-old single-season record of 60 home runs. The home run lead would change hands between the two teammates numerous times throughout the summer and fueled intense scrutiny of the players by the press. Maris eventually broke the record when he hit his 61st home run on the final day of the season, while Mantle hit 54 before he was forced to pull out of the lineup in September because of an abscessed hip. Maris' record stood for 37 years until it was broken by Mark McGwire in. The duo, however, still hold the single-season record for combined home runs by a pair of teammates with 115.","Most home runs by 2 teammates in a season by August 17, 1992.",0,by,long,Maris and Mantle | Mantle and Maris | M&M Boys | Mickey Mantle and Roger Maris | Roger Maris and Mickey Mantle,"During their record-breaking season of 1961, the M&M Boys became the only teammates to join the 50 home run club in the same season, hitting a combined 115 home runs to break the single-season record for home runs by a pair of teammates.",
15,situatedqa,,"when was the last time dallas cowboys won the super bowl as of August 02, 1995","January 30, 1994","January 30, 1994","Super Bowl XXVIII was an American football game between the National Football Conference (NFC) champion Dallas Cowboys and the American Football Conference (AFC) champion Buffalo Bills to decide the National Football League (NFL) champion for the 1993 season. The Cowboys defeated the Bills, for the second straight year, by a score of 30–13, winning their fourth Super Bowl in team history, tying the Pittsburgh Steelers and the San Francisco 49ers for most Super Bowl wins. The Buffalo Bills became the only team to both play and lose four consecutive Super Bowls (XXV, XXVI, XXVII, XXVIII) for a 0-4 franchise Super Bowl record, and as of 2023, remains the team's most recent Super Bowl appearance. This is also the most recent consecutive Super Bowl rematch. The game was played on January 30, 1994, at the Georgia Dome in Atlanta. ",For which NFL season did the Dallas Cowboys win Super Bowl?,0,,,1993,"The years shown below refer to the season, not the date that the Super Bowl was actually played. The Pittsburgh Steelers (1974, 1975, 1978, 1979, 2005, 2008) are tied with the New England Patriots (2001, 2003, 2004, 2014, 2016, 2018) with six Vince Lombardi Trophies. The Dallas Cowboys (1971, 1977, 1992, 1993, 1995) and the San Francisco 49ers (1981, 1984, 1988, 1989, 1994) are tied for third with 5 each.","These uniforms celebrated the Cowboys' most recent back-to-back Super Bowl titles in the 1992 and 1993 seasons and were used in most of the Cowboys' remaining games of the season, including the playoffs."
16,situatedqa,,"when was the last time dallas cowboys won the super bowl as of August 02, 1995","January 30, 1994","January 30, 1994","Super Bowl XXVIII was an American football game between the National Football Conference (NFC) champion Dallas Cowboys and the American Football Conference (AFC) champion Buffalo Bills to decide the National Football League (NFL) champion for the 1993 season. The Cowboys defeated the Bills, for the second straight year, by a score of 30–13, winning their fourth Super Bowl in team history, tying the Pittsburgh Steelers and the San Francisco 49ers for most Super Bowl wins. The Buffalo Bills became the only team to both play and lose four consecutive Super Bowls (XXV, XXVI, XXVII, XXVIII) for a 0-4 franchise Super Bowl record, and as of 2023, remains the team's most recent Super Bowl appearance. This is also the most recent consecutive Super Bowl rematch. The game was played on January 30, 1994, at the Georgia Dome in Atlanta. ",For which NFL season did the Dallas Cowboys win their most recent Super Bowl as of 1994?,1,as of,long,1993,"The years shown below refer to the season, not the date that the Super Bowl was actually played. The Pittsburgh Steelers (1974, 1975, 1978, 1979, 2005, 2008) are tied with the New England Patriots (2001, 2003, 2004, 2014, 2016, 2018) with six Vince Lombardi Trophies. The Dallas Cowboys (1971, 1977, 1992, 1993, 1995) and the San Francisco 49ers (1981, 1984, 1988, 1989, 1994) are tied for third with 5 each.","These uniforms celebrated the Cowboys' most recent back-to-back Super Bowl titles in the 1992 and 1993 seasons and were used in most of the Cowboys' remaining games of the season, including the playoffs."
17,situatedqa,,"when was the last time dallas cowboys won the super bowl as of August 02, 1995","January 30, 1994","January 30, 1994","Super Bowl XXVIII was an American football game between the National Football Conference (NFC) champion Dallas Cowboys and the American Football Conference (AFC) champion Buffalo Bills to decide the National Football League (NFL) champion for the 1993 season. The Cowboys defeated the Bills, for the second straight year, by a score of 30–13, winning their fourth Super Bowl in team history, tying the Pittsburgh Steelers and the San Francisco 49ers for most Super Bowl wins. The Buffalo Bills became the only team to both play and lose four consecutive Super Bowls (XXV, XXVI, XXVII, XXVIII) for a 0-4 franchise Super Bowl record, and as of 2023, remains the team's most recent Super Bowl appearance. This is also the most recent consecutive Super Bowl rematch. The game was played on January 30, 1994, at the Georgia Dome in Atlanta. ","For which NFL season did the Dallas Cowboys win their most recent Super Bowl as of August 2, 1995?",0,as of,long,1993,"The years shown below refer to the season, not the date that the Super Bowl was actually played. The Pittsburgh Steelers (1974, 1975, 1978, 1979, 2005, 2008) are tied with the New England Patriots (2001, 2003, 2004, 2014, 2016, 2018) with six Vince Lombardi Trophies. The Dallas Cowboys (1971, 1977, 1992, 1993, 1995) and the San Francisco 49ers (1981, 1984, 1988, 1989, 1994) are tied for third with 5 each.","These uniforms celebrated the Cowboys' most recent back-to-back Super Bowl titles in the 1992 and 1993 seasons and were used in most of the Cowboys' remaining games of the season, including the playoffs."
18,situatedqa,,"when was the last time dallas cowboys won the super bowl as of August 02, 1995","January 30, 1994","January 30, 1994","Super Bowl XXVIII was an American football game between the National Football Conference (NFC) champion Dallas Cowboys and the American Football Conference (AFC) champion Buffalo Bills to decide the National Football League (NFL) champion for the 1993 season. The Cowboys defeated the Bills, for the second straight year, by a score of 30–13, winning their fourth Super Bowl in team history, tying the Pittsburgh Steelers and the San Francisco 49ers for most Super Bowl wins. The Buffalo Bills became the only team to both play and lose four consecutive Super Bowls (XXV, XXVI, XXVII, XXVIII) for a 0-4 franchise Super Bowl record, and as of 2023, remains the team's most recent Super Bowl appearance. This is also the most recent consecutive Super Bowl rematch. The game was played on January 30, 1994, at the Georgia Dome in Atlanta. ","For which NFL season did the Dallas Cowboys win their most recent Super Bowl before January 2, 1996?",0,before,long,1993,"The years shown below refer to the season, not the date that the Super Bowl was actually played. The Pittsburgh Steelers (1974, 1975, 1978, 1979, 2005, 2008) are tied with the New England Patriots (2001, 2003, 2004, 2014, 2016, 2018) with six Vince Lombardi Trophies. The Dallas Cowboys (1971, 1977, 1992, 1993, 1995) and the San Francisco 49ers (1981, 1984, 1988, 1989, 1994) are tied for third with 5 each.","These uniforms celebrated the Cowboys' most recent back-to-back Super Bowl titles in the 1992 and 1993 seasons and were used in most of the Cowboys' remaining games of the season, including the playoffs."
19,situatedqa,,"when was the last time dallas cowboys won the super bowl as of August 02, 1995","January 30, 1994","January 30, 1994","Super Bowl XXVIII was an American football game between the National Football Conference (NFC) champion Dallas Cowboys and the American Football Conference (AFC) champion Buffalo Bills to decide the National Football League (NFL) champion for the 1993 season. The Cowboys defeated the Bills, for the second straight year, by a score of 30–13, winning their fourth Super Bowl in team history, tying the Pittsburgh Steelers and the San Francisco 49ers for most Super Bowl wins. The Buffalo Bills became the only team to both play and lose four consecutive Super Bowls (XXV, XXVI, XXVII, XXVIII) for a 0-4 franchise Super Bowl record, and as of 2023, remains the team's most recent Super Bowl appearance. This is also the most recent consecutive Super Bowl rematch. The game was played on January 30, 1994, at the Georgia Dome in Atlanta. ",For which NFL season did the Dallas Cowboys win their most recent Super Bowl between 1994 and 1995?,0,between,short,1993,"The years shown below refer to the season, not the date that the Super Bowl was actually played. The Pittsburgh Steelers (1974, 1975, 1978, 1979, 2005, 2008) are tied with the New England Patriots (2001, 2003, 2004, 2014, 2016, 2018) with six Vince Lombardi Trophies. The Dallas Cowboys (1971, 1977, 1992, 1993, 1995) and the San Francisco 49ers (1981, 1984, 1988, 1989, 1994) are tied for third with 5 each.","These uniforms celebrated the Cowboys' most recent back-to-back Super Bowl titles in the 1992 and 1993 seasons and were used in most of the Cowboys' remaining games of the season, including the playoffs."
20,situatedqa,,"when was the last time dallas cowboys won the super bowl as of January 28, 1996","January 28, 1996","January 28, 1996",The 1995 Dallas Cowboys season was the franchise's 36th season in the National Football League and was the second year under head coach Barry Switzer and final of the three Super Bowl titles they would win during 1992 to 1995. ,"For which NFL season did the Dallas Cowboys win their most recent Super Bowl as of January 31, 2000?",0,as of,long,1995,"The first NFL team to win three Super Bowls in four years, with Super Bowl wins in the 1992, 1993, and 1995 seasons. ","Dallas Cowboys (XXX, 1995 season), Won"
21,situatedqa,,"when was the last time dallas cowboys won the super bowl as of January 28, 1996","January 28, 1996","January 28, 1996",The 1995 Dallas Cowboys season was the franchise's 36th season in the National Football League and was the second year under head coach Barry Switzer and final of the three Super Bowl titles they would win during 1992 to 1995. ,For which NFL season did the Dallas Cowboys win their most recent Super Bowl before 2007?,0,before,short,1995,"The first NFL team to win three Super Bowls in four years, with Super Bowl wins in the 1992, 1993, and 1995 seasons. ","Dallas Cowboys (XXX, 1995 season), Won"
22,situatedqa,,who won latest america's next top model as of 2021,Kyla Coleman,2018,"The winner of the competition was 20 year-old Kyla Coleman from Lacey, Washington with Jeana Turner placing as the runner-up.",Who won the America's Next Top Model?,0,,,Kyla Coleman,"The series first aired in 2003 and as of 2018, twenty-four cycles have aired A total of 311 different participants have been selected as finalists in the show in its fifteen years running, with twenty-four models (Adrianne Curry, Yoanna House, Eva Pigford, Naima Mora, Nicole Linkletter, Danielle Evans, CariDee English, Jaslene Gonzalez, Saleisha Stowers, Whitney Thompson, McKey Sullivan, Teyona Anderson, Nicole Fox, Krista White, Ann Ward, Brittani Kline, Lisa D'Amato, Sophie Sumner, Laura James, Jourdan Miller, Keith Carlos, Nyle DiMarco, India Gants, and Kyla Coleman) crowned",
23,situatedqa,,who won latest america's next top model as of 2021,Kyla Coleman,2018,"The winner of the competition was 20 year-old Kyla Coleman from Lacey, Washington with Jeana Turner placing as the runner-up.",Who won the latest America's Next Top Model as of 2018?,1,as of,short,Kyla Coleman,"The series first aired in 2003 and as of 2018, twenty-four cycles have aired A total of 311 different participants have been selected as finalists in the show in its fifteen years running, with twenty-four models (Adrianne Curry, Yoanna House, Eva Pigford, Naima Mora, Nicole Linkletter, Danielle Evans, CariDee English, Jaslene Gonzalez, Saleisha Stowers, Whitney Thompson, McKey Sullivan, Teyona Anderson, Nicole Fox, Krista White, Ann Ward, Brittani Kline, Lisa D'Amato, Sophie Sumner, Laura James, Jourdan Miller, Keith Carlos, Nyle DiMarco, India Gants, and Kyla Coleman) crowned",
24,situatedqa,,who won latest america's next top model as of 2021,Kyla Coleman,2018,"The winner of the competition was 20 year-old Kyla Coleman from Lacey, Washington with Jeana Turner placing as the runner-up.",Who won the latest America's Next Top Model as of 2021?,0,as of,short,Kyla Coleman,"The series first aired in 2003 and as of 2018, twenty-four cycles have aired A total of 311 different participants have been selected as finalists in the show in its fifteen years running, with twenty-four models (Adrianne Curry, Yoanna House, Eva Pigford, Naima Mora, Nicole Linkletter, Danielle Evans, CariDee English, Jaslene Gonzalez, Saleisha Stowers, Whitney Thompson, McKey Sullivan, Teyona Anderson, Nicole Fox, Krista White, Ann Ward, Brittani Kline, Lisa D'Amato, Sophie Sumner, Laura James, Jourdan Miller, Keith Carlos, Nyle DiMarco, India Gants, and Kyla Coleman) crowned",
25,situatedqa,,who won latest america's next top model as of 2021,Kyla Coleman,2018,"The winner of the competition was 20 year-old Kyla Coleman from Lacey, Washington with Jeana Turner placing as the runner-up.","Who won the latest America's Next Top Model by May 8, 2021?",0,by,long,Kyla Coleman,"The series first aired in 2003 and as of 2018, twenty-four cycles have aired A total of 311 different participants have been selected as finalists in the show in its fifteen years running, with twenty-four models (Adrianne Curry, Yoanna House, Eva Pigford, Naima Mora, Nicole Linkletter, Danielle Evans, CariDee English, Jaslene Gonzalez, Saleisha Stowers, Whitney Thompson, McKey Sullivan, Teyona Anderson, Nicole Fox, Krista White, Ann Ward, Brittani Kline, Lisa D'Amato, Sophie Sumner, Laura James, Jourdan Miller, Keith Carlos, Nyle DiMarco, India Gants, and Kyla Coleman) crowned",
26,situatedqa,,who won latest america's next top model as of 2021,Kyla Coleman,2018,"The winner of the competition was 20 year-old Kyla Coleman from Lacey, Washington with Jeana Turner placing as the runner-up.",Who won the latest America's Next Top Model before 2020?,0,before,short,Kyla Coleman,"The series first aired in 2003 and as of 2018, twenty-four cycles have aired A total of 311 different participants have been selected as finalists in the show in its fifteen years running, with twenty-four models (Adrianne Curry, Yoanna House, Eva Pigford, Naima Mora, Nicole Linkletter, Danielle Evans, CariDee English, Jaslene Gonzalez, Saleisha Stowers, Whitney Thompson, McKey Sullivan, Teyona Anderson, Nicole Fox, Krista White, Ann Ward, Brittani Kline, Lisa D'Amato, Sophie Sumner, Laura James, Jourdan Miller, Keith Carlos, Nyle DiMarco, India Gants, and Kyla Coleman) crowned",
27,situatedqa,,who won latest america's next top model as of 2021,Kyla Coleman,2018,"The winner of the competition was 20 year-old Kyla Coleman from Lacey, Washington with Jeana Turner placing as the runner-up.",Who won the latest America's Next Top Model between 2018 and 2021?,0,between,short,Kyla Coleman,"The series first aired in 2003 and as of 2018, twenty-four cycles have aired A total of 311 different participants have been selected as finalists in the show in its fifteen years running, with twenty-four models (Adrianne Curry, Yoanna House, Eva Pigford, Naima Mora, Nicole Linkletter, Danielle Evans, CariDee English, Jaslene Gonzalez, Saleisha Stowers, Whitney Thompson, McKey Sullivan, Teyona Anderson, Nicole Fox, Krista White, Ann Ward, Brittani Kline, Lisa D'Amato, Sophie Sumner, Laura James, Jourdan Miller, Keith Carlos, Nyle DiMarco, India Gants, and Kyla Coleman) crowned",
28,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","Which team did Dwight Howard play for?
",0,,,Los Angeles Lakers,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team.",
29,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","Which team did Dwight Howard play for in 2019?
",1,in,short,Los Angeles Lakers,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team.",
30,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","Which team did Dwight Howard play for as of 2020?
",0,as of,short,Los Angeles Lakers,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team.",
31,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","Which team did Dwight Howard play before November 21, 2020?
",0,before,long,Los Angeles Lakers,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team.",
32,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","Which team did Dwight Howard play before 2021?
",0,before,short,Los Angeles Lakers,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team.",
33,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","When did Dwight Howard play for Los Angeles Lakers?
",0,,,2012 | 2013 | 2012-2013 | 2012–2013,"On August 10, 2012, Howard was traded from Orlando to the Los Angeles Lakers in a deal that also involved the Philadelphia 76ers and the Denver Nuggets",
34,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","When did Dwight Howard play for Los Angeles Lakers between 2000 and 2013?
",1,between,short,2012 | 2013 | 2012-2013 | 2012–2013,"On August 10, 2012, Howard was traded from Orlando to the Los Angeles Lakers in a deal that also involved the Philadelphia 76ers and the Denver Nuggets",
35,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","When did Dwight Howard play for Los Angeles Lakers between 2000 and 2017?
",0,between,short,2012 | 2013 | 2012-2013 | 2012–2013,"On August 10, 2012, Howard was traded from Orlando to the Los Angeles Lakers in a deal that also involved the Philadelphia 76ers and the Denver Nuggets",
36,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ","When did Dwight Howard play for the Lakers between 2004 and July 12, 2016?
",0,between,long,2012 | 2013 | 2012-2013 | 2012–2013,"On August 10, 2012, Howard was traded from Orlando to the Los Angeles Lakers in a deal that also involved the Philadelphia 76ers and the Denver Nuggets",
37,situatedqa,,who did dwight howard play for last year as of 2020,Los Angeles Laker,2019,"On August 26, 2019, Howard signed a $2.6 million veteran's minimum contract with the Los Angeles Lakers, reuniting him with his former team. He was replacing DeMarcus Cousins, a free agent signed earlier in the offseason who was lost for the year after suffering a knee injury. ",When was the first time Dwight Howard play for the Lakers before July 2018?,0,before,long,2012 | 2013 | 2012-2013 | 2012–2013,"On August 10, 2012, Howard was traded from Orlando to the Los Angeles Lakers in a deal that also involved the Philadelphia 76ers and the Denver Nuggets",
